English,chinese
station,¯¸
acting,ºtÀ¸
accept,±µ¨ü
blow,¥´À»
strange,©_©Ç
saved,«O¦s
Ivy or ivy,±`¬KÃÃ©Î±`¬KÃÃ
conversation,·|¸Ü
plane,¥­­±
mama,¶ý¶ý
yesterday,¬Q¤Ñ
lied,»¡ÁÀ
quick,§Ö
lately,³Ìªñ
stuck,¥d¦í
lovely,¥i·R
security,¦w¥þ
report,³ø§i
Barbara,ªÝªÝ©Ô
difference,°Ï§O
rid,Â\²æ
tv or TV,¹qµø©Î¹qµø
Adam,¨È·í
store,°Ó©±
she'd,´×
bag,³U
Mike,³Á§J­·
bought,¶R
ball,²y
single,³æ
Kevin,³Í¤å
doubt,ÃhºÃ
listening,Å¥¤O
major,­«¤jªº
walking,¨B¦æ
cops,Äµ¹î
blue,ÂÅ¦â
deep,²`
dangerous,¦MÀI
Buffy,¤Úµá
park or Park,¤½¶é©Î¤½¶é
Chloe,§J¬¥¥ì
Rafe,¹p¤Ò
shh,¼N
record,°O¿ý
lord,¥D
Erica,®J¨½¥d
moved,²¾°Ê
join,¥[¤J
key,Áä
captain,¶¤ªø
card,¥d
crime,¥Ç¸o
willing,Ä@·N
return,ªð¦^
walked,¨«
guilty,¦³¸o
Brenda,¥¬­Û¹F
likes,³ßÅw
fighting,¾Ô°«
difficult,Ãø
soul,ÆF»î
joke,ª±¯º
service,ªA°È
magic,Å]ªk
favorite,³ß·R
uncle,¨û¨û
promised,³\¿Õ
public,¤W¥«
bother,·Ð
island,®q
Jim,¦N©i
seriously,»{¯u¦a
cell,²Ó­M
lead,¹]
knowing,·|¤ß
broken,¯}¸H
advice,©¾§i
somehow,¤£ª¾¦ó¬G
paid,¤ä¥I
Blair,¥¬µÜº¸
losing,¿é²y
push,±À
helped,À°§U
killing,¿Ñ±þ
usually,¥­®É
earlier,«e
boss,¦ÑÁó
Laura,³Ò©Ô
liked,³ßÅw
doc,DOC
rules,³W«h
Elizabeth,¥ìÄR²ï¥Õ
Sabrina,ÂÄ¥¬ÄR®R
summer or Summer,®L¤Ñ©Î®L©u
ex,«e
cop,Äµ¹î
learned,¾Ç¨ì¤F
thirty,¤T¤Q
risk,­·ÀI
letting,¥X¯²
Phillip,µá§Q´¶
officer,©x
ridiculous,¯îÂÕ
support,¤ä«ù
afternoon,¤U¤È
Eric,®J¨½§J
born,¥X¥Í
dreams,¹Ú
apologize,¹Dºp
seat,®y¦ì
nervous,ºò±i
across,¾î¹L
song,ºq¦±
Olivia,¶ø§Qºû¨È
charge,¦¬¶O
patient,±wªÌ
boat,²î
how'd,§A«ç»ò
brain,¸£
hide,ÁôÂÃ
detective,°»±´
Aaron,¨È­Û
Kendall,ªÖ¼wº¸
general,¤@¯ë
Tom,´ö©i
planning,³W¹º
nine,¤E
huge,¥¨¤j
breakfast,¦­À\
horrible,¥i©È
age,¦~ÄÖ
awful,¥i©È
pleasure,¼Ö½ì
driving,¾r¾p
picked,±ÄºKªº
system,¨t²Î
sell,½æ
quit,©ñ±ó
apparently,ÅãµM¦a
dying,««¦º
notice,ª`·N
Josh,ª±¯º
congratulations,¯¬¶P
faith,«H¥õ
Simon,¦è»X
gay,¦P©ÊÅÊªÌ
ho or Ho,»¨©ÎHo
month,¤ë
visit,³X°Ý
Hal,«¢º¸
could've,¥i¯à¤w¸g
c'mon,¨Ó§a
aw,AW
Edmund,®J¼w»X
Brady,¥¬¹p­}
letter,«H¥ó
decide,¨M©w
American,¬ü°ê
double,Âù
Troy,¯S¬¥¥ì
sad,¶Ë¤ß
press,«ö
forward,«e¾W
fool,¶Ì¤l
showed,Åã¥Ü
smell,»D
seemed,¦ü¥G
Mary,º¿ÄR
spell,«÷¼g
Courtney,¦Ò¯S¥§
memory,°O¾Ð
Mark or mark,¼Ð°O©Î¼Ð°O
pictures,¹Ï¤ù
