English,chinese
station,站
acting,演戲
accept,接受
blow,打擊
strange,奇怪
saved,保存
Ivy or ivy,常春藤或常春藤
conversation,會話
plane,平面
mama,媽媽
yesterday,昨天
lied,說謊
quick,快
lately,最近
stuck,卡住
lovely,可愛
security,安全
report,報告
Barbara,芭芭拉
difference,區別
rid,擺脫
tv or TV,電視或電視
Adam,亞當
store,商店
she'd,棚
bag,袋
Mike,麥克風
bought,買
ball,球
single,單
Kevin,凱文
doubt,懷疑
listening,聽力
major,重大的
walking,步行
cops,警察
blue,藍色
deep,深
dangerous,危險
Buffy,巴菲
park or Park,公園或公園
sleeping,睡眠
Chloe,克洛伊
Rafe,雷夫
shh,噓
record,記錄
lord,主
Erica,埃里卡
moved,移動
join,加入
key,鍵
captain,隊長
card,卡
crime,犯罪
gentlemen,紳士
willing,願意
window,窗口
return,返回
walked,走
guilty,有罪
Brenda,布倫達
likes,喜歡
fighting,戰鬥
difficult,難
soul,靈魂
joke,玩笑
service,服務
magic,魔法
favorite,喜愛
uncle,叔叔
promised,許諾
public,上市
bother,煩
island,島
Jim,吉姆
seriously,認真地
cell,細胞
lead,鉛
knowing,會心
broken,破碎
advice,忠告
somehow,不知何故
paid,支付
Blair,布萊爾
losing,輸球
push,推
helped,幫助
killing,謀殺
usually,平時
earlier,前
boss,老闆
Laura,勞拉
beginning,開始
liked,喜歡
innocent,無辜
doc,DOC
rules,規則
Elizabeth,伊麗莎白
Sabrina,薩布麗娜
summer or Summer,夏天或夏季
ex,前
cop,警察
learned,學到了
thirty,三十
risk,風險
letting,出租
Phillip,菲利普
speaking,請講
officer,官
ridiculous,荒謬
support,支持
afternoon,下午
Eric,埃里克
born,出生
dreams,夢
apologize,道歉
seat,座位
nervous,緊張
across,橫過
song,歌曲
Olivia,奧利維亞
charge,收費
patient,患者
Cassie,卡西
boat,船
how'd,你怎麼
brain,腦
hide,隱藏
detective,偵探
Aaron,亞倫
Kendall,肯德爾
general,一般
Tom,湯姆
planning,規劃
nine,九
huge,巨大
breakfast,早餐
horrible,可怕
age,年齡
awful,可怕
pleasure,樂趣
driving,駕駛
hanging,掛
picked,採摘的
system,系統
sell,賣
quit,放棄
apparently,顯然地
dying,垂死
notice,注意
Josh,玩笑
congratulations,祝賀
chief,首席
faith,信仰
Simon,西蒙
gay,同性戀者
ho or Ho,豪或Ho
one's,那些
month,月
visit,訪問
Hal,哈爾
could've,可能已經
c'mon,來吧
aw,AW
Edmund,埃德蒙
Brady,布雷迪
letter,信件
decide,決定
American,美國
double,雙
Troy,特洛伊
sad,傷心
press,按
forward,前鋒
fool,傻子
showed,顯示
smell,聞
seemed,似乎
Mary,瑪麗
spell,拼寫
Courtney,考特尼
memory,記憶
Mark or mark,標記或標記
Alan,艾倫
pictures,圖片
Paris,巴黎
slow,慢
Joe or joe,喬或喬
Tim,蒂姆
seconds,秒
hungry,飢餓
board,板
position,位置
hearing,聽力
Roz,羅茲
kitchen,廚房
ma'am,夫人
Bob or bob,鮑勃或鮑勃
force,力
fly,飛
during,中
space,空間
should've,應該
realized,實現
experience,經驗
kick,踢
others,其他
grab,抓
mother's,母親
P.,P.
Sharon,沙龍
discuss,討論
third,第三
cat or Cat,貓或者貓
fifty,五十
responsible,主管
Jennifer,詹妮弗
Philip,菲利普
miles or Miles,英里或里程
fat,脂肪
reading,閱讀
idiot,白痴
yep,是的
rock,岩石
rich,豐富
suddenly,突然
agent,代理人
bunch,束
destroy,破壞
bucks,雄鹿
track,跟?
shoes,鞋
scene,現場
peace,和平
arms,武器
demon,惡魔
Diane,黛安
Bridget,布里奇特
Brad,布拉德
low,低
Livvie,Livvie
consider,考慮
papers,文件
medical,醫
incredible,難以置信
witch,巫婆
er,呃
drunk,醉
attorney,律師
Charlie,查理
tells,告訴
knock,敲
Karen,卡倫
ways,方法
eh,啊
belle or Belle,百麗百麗或
cash or Cash,現金或現金
gives,給
department,部門
nose,鼻子
Skye,斯凱
turns,圈
keeps,保持
beer,啤酒
jealous,妒
drug,藥品
Molly,莫莉
sooner,早
cares,管它
plenty,豐富
extra,額外
tea,茶
won,韓元
attack,攻擊
ground,地面
whose,誰的
outta,失控
Kyle,凱爾
L.,L.
weekend,週末
matters,事項
wrote,寫
type,類型
father's,父親的
Alex,亞歷克斯
gosh,天哪
opportunity,機會
king,王
impossible,不可能
books,圖書
machine,機
waste,浪費
th,日
pretend,假裝
named,命名
danger,危險
wall,壁
Liz,利茲
Ian,伊恩
Henry,亨利
jump,跳
eating,吃
proof,證明
complete,完成
slept,睡
career,事業
arrest,逮捕
star,星
Phyllis,菲利斯
Mac,蘋果電腦
breathe,呼吸
perfectly,完美
warm,暖
pulled,拉
Maria,瑪麗亞
twice,兩次
easier,更輕鬆
killer,兇手
goin',進去'
dating,約會
suit,適合
romantic,浪漫
drugs,毒品
comfortable,自在
Isaac,艾薩克
powers or Powers,權力或權力
finds,認定
checked,檢查
fit,適合
divorce,離婚
begin,開始
ourselves,我們自己
closer,接近
ruin,廢墟
although,雖然
smile,微笑
laugh,笑
fish,魚
Abigail,阿比蓋爾
treat,對待
god's,神
fear,恐懼
Anna,安娜
what'd,什麼了
Simone,西蒙娜
Amber,琥珀色
guy's,傢伙
otherwise,除此以外
excited,興奮
mail,郵件
hiding,隱藏
cost,成本
green or Green,綠色或綠
stole,偷了
Pacey,佩西
noticed,預告
Liza,麗莎
fired,解僱
Daphne,芫
Whitney,惠特尼
excellent,優秀的
lived,生活
bringing,使
pop,流行
piper or Piper,吹笛或派珀
bottom,底部
note,注意
sudden,突然
church,教會
bathroom,浴室
flight,飛行
Chad or chad,乍得或乍得
la or LA,鑭
honestly,老老實實
sing,唱
Katie,凱蒂
foot,腳丫子
games,遊戲
glass,玻璃
N.,N.
Mitch,米奇
remind,提醒
bank,銀行
Rory,羅裡
charges,收費
witness,見證人
finding,發現
places,地方
tree,樹
dare,敢
hardly,幾乎不
that'll,那會
U.,U.
interest,利益
steal,偷
princess,公主
silly,愚蠢
contact,聯繫
teach,教導
shop,店
plus,加
colonel,陸軍上校
fresh,新鮮
trial,審訊
invited,邀請
roll,滾
radio,無線電
art,藝術
reach,達到
heh,嘿嘿
dirty,臟
choose,選擇
emergency,急
dropped,下降
butt,屁股
credit,信用
obvious,明顯
cry,哭
locked,鎖定
Larry,拉里
loving,愛心
positive,正
nuts,堅果
agreed,同意
Prue,普魯
price or Price,價格或價格
goodbye,再見
condition,健康）狀況
guard,守衛
fuckin',他媽的'
grow,增長
cake,蛋糕
mood,心情
dad's,爸爸的
Bianca,比安卡
total,總
crap,擲骰子
crying,哭了
Paige,佩奇
K. or 'k,K.或“K
belong,屬於
lay,外行
partner,夥伴
trick,招
pressure,壓力
ohh,喔
arm,臂
dressed,穿著
cup,杯子
lies,謊
bus,總線
taste,味道
neck,頸部
south,南
something's,東西的
nurse,護士
raise,提高
land,土地
cross,交叉
lots,地段
mister,先生
carry,攜帶
group,組
whoever,誰
Eddie,埃迪
drinking,喝
they'd,他們會
breaking,破壞
file,文件
lock,鎖
computer,電腦
yo,喲
Rebecca,麗貝卡
wine,葡萄酒
closed,關閉
writing,寫作
spot,點
paying,付款
study,研究
assume,承擔
asleep,睡著
man's,男人的
turning,車削
legal,法律
justice,正義
Viki,VIKI
Chandler,錢德勒
bedroom,臥室
shower,淋浴
Nikolas,尼古拉斯
camera,相機
fill,填
reasons,原因
forty,四十
bigger,大
nope,不
keys,按鍵
Starr,斯塔爾
breath,呼吸
doctors,醫生
pants,褲子
freak,怪物
level,水平
French,法國
movies,電影
gee,哎呀
Monica,莫妮卡
action,行動
area,區
folks,鄉親
Steve,史蒂夫
cream,奶油
ugh,啊
continue,繼續
focus,焦點
wild,野生
truly,真
Jill or jill,吉爾或吉爾
desk,台
convince,說服
client,客戶
threw,扔
Taylor,泰勒
band,帶
hurts,傷害
Charles,查爾斯
spending,開支
Neil,尼爾
field or Field,現場或現場
allow,允許
grand,盛大
answers,答案
shirt,襯衫
chair,椅子
Christ or christ,基督或基督
allowed,允許
rough,粗
doin,杜安
sees,看到
government,政府
Harry,掠奪
ought,應該
empty,空
round,回合
lights,燈火
insane,瘋
hall or Hall,大廳或大廳
hat,帽子
bastard,混蛋
wind,風
shows,節目
aware,知道的
dealing,交易
pack,包
meaning,含義
flowers,花卉
tight,緊
hurting,傷害
ship,船
subject,學科
guest,來賓
mom's,媽媽的
chicken,雞
pal,朋友
match,比賽
Elaine,伊萊恩
arrested,被捕
sun,太陽
Rachel,雷切爾
Salem,塞勒姆
confused,困惑
surgery,手術
expecting,期待
deacon,執事
Colleen,科琳
unfortunately,不幸
goddamn,該死
lab,實驗室
passed,通過
bottle,瓶子
beyond,外
whenever,每當
pool,池
opinion,意見
naked,裸
held,保持
common,共同
starts,啟動
jerk,混蛋
secrets,秘密
falling,落下
played,發揮
necessary,必要
barely,僅僅
dancing,跳舞
health,健康
tests,測試
copy,複製
Keri,克里
video,視頻
cousin,表姐
planned,計劃
Vanessa,凡妮莎
dry,乾燥
ahem,啊哈
twelve,十二
simply,只是
Tess,苔絲
Scott,斯科特
skin,皮膚
often,經常
English,英語
fifteen,十五
spirit,精神
speech,言語
names,名
issue,問題
orders,訂單
nah,羅
final,最後
Michelle,米歇爾
America,美國
St.,聖
results,結果
code,碼
Ned,斯內德
Bonnie,邦妮
W.,W.
believed,相信
complicated,複雜
umm,烏姆
research,研究
nowhere,無處
escape,逃逸
biggest,最大
restaurant,餐廳
page or Page,頁面或頁面
grateful,感激
usual,通常
burn,燒傷
Chicago,芝加哥
Austin,奧斯汀
address,地址
within,內
someplace,某個地方
screw,擰
everywhere,到處
train,培養
film,電影
regret,後悔
goodness,善良
mistakes,錯誤
heaven or Heaven,天堂還是天堂
details,細節
responsibility,責任
suspect,疑似
corner,角
hero,英雄
dumb,啞
terrific,了不起
Peter,彼得
mission,任務
further,進一步
Amy,艾米
gas,加油站
whoo,喔
hole,孔
memories,回憶
o'clock,點
Brian,布賴恩
truck,卡車
following,以下
ended,結束
nobody's,任何人的
Margo,馬戈
teeth,牙
ruined,毀了
Hank,漢克
split,分裂
Reva,雷瓦
bear,熊
airport,飛機場
bite,咬
smoke,抽煙
Stenbeck,斯坦伯克
older,舊的
liar,說謊者
horse,馬
Gwen,格溫
showing,顯示
van or Van,貨車或麵包車
project,項目
cards,牌
desperate,殊死
themselves,他們自己
search,搜索
pathetic,可憐
damage,損傷
spoke,輻
quickly,很快
scare,嚇
Marah,瑪拉
G.,G。
beach,海灘
Mia,米婭
brown or Brown,棕色或棕
afford,給予
vote,投票
settle,解決
gold,金
re or 're,再或者“重
mentioned,提到
ed or -ed,編輯或-ed
due,應有
passion,情
Y. or -y,Y.或-y
stayed,住
rule,規則
Friday,星期五
checking,檢查
tie,領帶
hired,僱用
upon,上
rush or Rush,匆忙或拉什
Tad,塔德
heads,頭
concern,關心
blew,自爆
natural,自然
Alcazar,城堡
Kramer,克萊默
champagne,香檳酒
connection,連接
tickets,門票
Kate,凱特
finger,手指
happiness,幸福
form,形成
saving,保存
kissing,接吻
Martin,馬丁
hated,恨
personally,親自
suggest,建議
prepared,準備
build,建立
leg,腿
onto,到
leaves,樹葉
downstairs,樓下
ticket,票
it'd,它會
taught,教
loose,疏鬆
holy,聖
staff,員工
sea,海
Asa,作為一個
planet,行星
duty,義務
convinced,相信
throwing,投擲
defense,防禦
Harvey,哈維
kissed,親吻
legs,腿
Dave,戴夫
according,根據
loud,響
practice,實踐
Andy,安迪
Jess,枷鎖
Saturday,星期六
Colin,科林
bright or Bright,明亮或明亮
Amanda,阿曼達
Fraser,弗雷澤
F.,F。
babies,嬰兒
army,軍隊
where'd,哪兒
warning,警告
miracle,奇蹟
carrying,承載
flying,飛行
Caleb,迦勒
blind,盲
queen,女王
ugly,醜陋
shopping,購物
hates,恨
someone's,別人的
Seth,賽斯
monster,怪物
sight,視力
vampire,吸血鬼
Rosanna,王鳴
bride,新娘
coat,塗層
account,帳戶
states,狀態
clearly,明確地
celebrate,慶祝
Nicole,妮可
brilliant,輝煌
wanting,希望
Allison,佳佳
add,加
moon,月亮
Forrester,Forrester公司
lips,嘴唇
custody,保管
center,中央
screwed,螺紋連接
buying,購買
size,尺寸
toast,烤麵包
thoughts,思念
Isabella,伊莎貝拉
student,學生
stories,故事
however,然而
professional,專業的
stars,明星
reality,現實
Jimmy or jimmy,吉米或麥
birth,分娩
Lexie,少了些
attitude,態度
advantage,優點
grandfather,祖父
Sami,薩米
sold,出售
opened,打開
Lily,百合
grandma,奶奶
beg,求
Edward,愛德華
changes,變化
Diego,迭戈
Cole,油菜
someday,日後
grade,年級
cheese,起司
roof,屋頂
Kenny,肯尼
Bobby or bobby,鮑比鮑比或
pizza,比薩
brothers,兄弟
X. or x,十，或x
signed,簽
bird,鳥
ahh,啊
marrying,結婚
powerful,強大
